"Name","Github","Twitter","ImageFile","Profile","Supplement","Community","Description","JudgedBy","ReasonFor","Comment"
"西川茂伸","shishi","shishi4tw","shishi4tw","株式会社Aiming 所属
Shinjuku.rb ファウンダー、主催
TDDBC、日本Symfonyユーザー会所属

TDD や CI といった、自動テストを用いた開発手法に強く興味を持ち、勉強会や執筆を通じて多くの人にも実践してもらおうと務めています。
Ruby を仕事で使うようになってまだ1年経っていませんが、盛んなコミュニティ活動、気の良い Rubyist に恵まれ楽しい開発をしています。",,"Shinjuku.rb","Rails3レシピブックの読書会やペアプロを主な活動とする勉強会&コミュニティです。","@tyabe 氏作成のウェブサイトによる投票","投票理由抜粋

・司会進行とりまとめいつもありがとうございます！
・いつもお世話になっています！
・コミュニティの運営ご苦労様です！
・いつもありがとうございます。
・Extream Fish Bowlの仕切りは、かなり大変だと思います。 あれは、tTDDの普及に一役買っているはず。
・お疲れ様です!!
・Shinjuku.rbといえば！というくらい存在感が大きい
・初心者にもすごく丁寧に教えてくださいます
・Shinjuku.rb以外のイベントにも関わりながら？忙しい中でも毎回の準備・開催に感謝しております
・毎回お世話になってます。
・実行力がすごい！お世話になってます
","Shinjuku.rb でお待ちしています！"
"比嘉 正栄（HIGA, Seiei）","hanachin","hanachin_","hanachin_","沖縄生まれ沖縄育ち、ギークハウス沖縄在住のテストおじさん（赤）。沖縄の大学を中退後、独学で C や Ruby/Rails, CoffeeScript, Lisp などを学び続け、2011年にはコードゴルフで高専の教授よりも高いスコアを叩き出したり、Yammer や郵便貯金の XSS 脆弱性を報告したりしている。2012年1月からは、Okinawa.rb の Weekly Meetup を毎週運営している。

作品例：
1. Favtile     http://favtile.com /
2. ミク☆キュン     http://9leap.net/games/840/
3. enchant.js.coffee      https://github.com/hanachin/enchant.js","未踏ユース2012コクリエータ。現在は YasuLab のエンジニアとして、PaaS のモジュール開発やソーシャル iOS アプリ、ソーシャルWebサービスの開発を行っている。また、シリコンバレー在住のエンジニアと共同で自社サービスの開発も行っている。

YasuLab
http://yasulab.jp/","Okinawa.rb","Okinawa.rb is a local community for Ruby/Rails users in Okinawa, Japan. From beginners to veterans, all those who are interested in Ruby/Rails are welcome!

沖縄のRuby/Railsコミュニュティです。沖縄のRuby/Railsな方々の情報交換を主な目的としていて、毎週水曜日の夕方には、ギークハウス沖縄で Weekly Meetup を開いています。

Okinawa.rb では、技術を学ぶだけでなく、それをユーザが実際に使える形にして公開する事を推奨しています。モノを作って公開することで、早く失敗し早く学習する文化を沖縄に根ざしていけたらなー、と考えています。

沖縄在住／出身の方でも、たまたま沖縄にフラっと寄っている方でも、どなたでも歓迎致します。勉強会やハッカソンに参加して頂けると大変嬉しいですが、MLに登録するだけな方もOKです。

Web
http://qwik.jp/okinawarb/","Okinawa.rb の Facebook Group において、2012年の RubyKaja 選出アンケートを８月１５日から８月２２日までの１週間実施。結果、８月２２日に１６票の投票を得て、今年の Okinawa.rb の RubyKaja として @hanachin_ を選定した。

RubyKaja アンケート @ Okinawa.rb
http://www.facebook.com/groups/okinawarb/permalink/365704760169007/","Okinawa.rb の RubyKaja 選出方法において、最も RubyKaja に相応しいと選定されたため。","Minami.rb と Shibuya.rb、Okinawa.rb の共同運営で、2012年11月17,23,24日に Rails Hackathon in Okinawa を開催します。ご興味のある方は是非予定を空けておいて下さい！

Rails Hackathon in Okinawa
http://railshackathon.net/"
"小玉直樹","volpe28v","volpe_hd28v","volpe28v","生まれも育ちも札幌のプログラマ。RubyにハマってからはWebアプリを作るのが楽しくて日課になっている。1年ほど前からコミュニティ活動にも参加を開始し，素敵な技術者と出会える日々に感謝。",,"Ruby札幌","札幌にてプログラミング言語 Ruby に関する活動を行っているコミュニティです。
Ruby 勉強会＠札幌や RubySapporoNight などのイベントを不定期的に開催しています。 ","まずコードを書いている人が評価されるべきだと考えました。","kanban-list をはじめとする、話題になるプロダクトをオープンな場で積極的に開発しているので。

- 参考
 - https://github.com/volpe28v/
 - http://www.moongift.jp/2012/08/20120815-2/
",
"矢部剛嗣(Takeshi Yabe","tyabe","tyabe","tyabe","Rubyが好きなソフトウェアエンジニア。
現在は主にWEBに関するシステム開発に携わっています。
Shibuya.rb, Yokohama.rb　所属。
ときどきデザイナー向けプログラム部にも参加しています。",,"Shibuya.rb","Shibuya.rbは、渋谷近郊のRubyが好き﻿だったり、Rubyの周辺技術が気になっている人のための地域Rubyistコミュニティです。
最近はfacebookグループ(http://www.facebook.com/groups/shibuya.rb/)で告知等を行っています。","http://shibuyarbkaja.herokuapp.com/","毎月のMeetupや毎週のShibuyaRubyistLunchの案内出し、ファシリテート、発表など、様々な活動をされており、Shibuya.rb参加者の投票によってダントツの支持を集まったためです。

",
"高橋一生","1syo","1syo","1syo","* 株式会社Aiming / Railsプログラマー
* リー先生とジャッキー先生の名作がhuluで配信されてから寝れない日々が続いている
",,"Yokohama.rb","Yokohama.rbは、横浜周辺のRuby技術者たちが集まってRubyに関する何かをする地域Rubyistコミュニティです。","推薦者によるプレゼンとメンバーによる投票。","Yokohama.rbの立ち上げ当初からその後の活動に対して様々な提案と運営活動に協力していただき、これまでのYokohama.rbをふりかえった時になくてはならない存在としてとても大きな印象がありました。

具体的な功績としては、みなとRuby会議実行委員長、みなとRuby会議の提案と命名、Minami.rbとの姉妹rb、railsハッカソン、レシピブック読書会、Ruby忘年会のYokohama.rbによる幹事など、様々な企画の中心であり発端となっています。

多数のKaja候補の中でダントツの存在感でした！",
"山口真央",,"gutch_jp","gutch_jp","岡山Ruby, Ruby on Rails勉強会発起人
岡山Ruby会議01実行委員長
仕事ではRuby on RailsでのWebシステム開発を行なっている。",,"岡山Ruby, Ruby on Rails勉強会","岡山を中心に「Ruby」や「Ruby on Rails」を中心とした内容の勉強会を開催しているコミュニティです。
地域Ruby会議として岡山Ruby会議01の運営を行いました。
現在も勉強会等の活動を続けています。
http://sites.google.com/site/okayamaruby/","選考基準は「コミュニティの活動に貢献している人」
まず、自己／他者推薦を実施。
次に、推薦で選ばれた候補者からコミュニティメンバーによる投票によって決定。","岡山初のRuby会議開催において大きな貢献をした。
特に他の地域のRubiestとのコミュニケーションをはかり、
岡山のRuby会議を大きく盛り上げたため。",
"南齋雄一","track8","track8","track8","群馬のプログラマです。
guRubyやってます。
toRubyにも参加してます。","記念にRuby技術者認定試験に挑戦します。","guRuby","群馬で毎月第3水曜日に行っているRubyの勉強会です。
「初めてのRuby」を現在写経中で、この7月で22回目をむかえました。","今までguRubyに参加したことがある方を選定候補とし、8月定例参加者の投票をもって決定しました","地域RubyコミュニティguRubyを立ち上げ、継続してRubyの普及活動を行っているため。","来年初頭、群馬で皆さんとお会いしたいですね。"
"福井 修","ir3","iR3","iR3","Ruby大好き中年です。システム構築３５年。
Ruby@関西立ち上げやRubyKaigi2009実行委員やりました。
世界遺産で拡がる景観や歴史・文化に大いに興味があります。
学生時代は、年間１００日を超えて山とスキーやってましたので、自然やアウトドア活動大好きです。温泉に入って、酒を飲んでうまいものを食べるのも大好きです。
(本人のプロフィールより)",,"Sendagaya.rb","毎週月曜日に集まってもくもくと
各自の興味ある事や好きな事について作業するコミュニティです。

不定期で特定技術の相談会やハンズオンも行っています。 ","人と人とのつながりにおいて、貢献度が高い方を選出しました。
選考は、主催者2人(@ppworks, @fukajun)の相談の上、本人へお伝えして決定しております。","* 福井さんの人とのつながりを大切にしているという行動は、sendagaya.rbのコンセプトに非常に合致しており選出いたしました。
* コミュニティーに参加するのが初めての人は、共通の話題があるとはいえ最初は緊張しているし、話す相手もいない、大切なのはそんな人も暖かく迎える雰囲気作りだと思っています。それを実践している福井さんのような人が表彰されることで初めてのひと、仲間のいない人も暖かく迎える雰囲気がより高まるのではないかと思っています。
* そして技術だけでなく、雰囲気作り、人と人とをつなげるような貢献も、認めてもらえるというような実績を作りたいと思います。",
"三村 益隆(ミムラ ミツタカ)","takkanm","takkanm","takkanm","永和システムマネジメント所属のRubyist。 asakusa.rbのメール、 ドア係。 終われと言われて早2年、 Rails勉強会@東京を開催したりしてます。

http://sapporo.rubykaigi.org/2012/ja/schedule/details/53.html
http://sapporo.rubykaigi.org/2012/en/schedule/details/53.html","普段はいじられキャラの彼ですが、ことRails勉強会の司会については皆に愛されつつもビシッとやってくれています。Rails勉強会の参加者として自信を持って選出いたしました。","Rails勉強会@東京","毎月だいたい第三土曜日にRailsに関する勉強会(/= コミュニティ)をやってます。","Facebook上のRails勉強会@東京グループ https://www.facebook.com/groups/133320066732707/ で話し合いました。このごろは、開催情報の共有など含め、ほとんどFacebook上でやりとりしているためです。","Rails勉強会は、おおよそ毎月、東京都内で開催されている勉強会です。

我々が選出した三村さんは、ほぼ毎回の勉強会の会場提供(彼が所属する永和システムマネジメントでやっています)から、勉強会の中身であるセッションの司会、さらには会全体の狂言回し役まで、いつも責任を持ってやってくれています。

その姿勢が多くの参加者に支持されたため、私達の代表として彼を選出いたしました。","Rails勉強会は、2006年から続いている勉強会です。Railsブームの訪れとともに多くのRubyistが集い、色々なことを学んだ場でした。時とともに参加者が移り変わっていますが、いまもRails初級者から中級者に対する入門的な勉強会として、ほぼ毎月開催されています。"
"たなべすなお",,"sunaot","sunaot","たなべすなお (Sunao Tanabe / @sunaot) 。日本 Ruby の会、Asakusa.rb 所
属。Rubyist
Magazine 編集者。るびま育ちの Rubyist。今のところ Perl の会社で Ruby の
仕事をしているプログラマ。",,"るびま編集コミュニティ","時々るびまを編集して出します．","るびまでもっとも活躍している人の一人を推薦し，賛同を得た．","たなべ氏はウェブ雑誌である Rubyist Magazine の編集作業を精力的に行い，と
くにリリースに最も重要である進行役を多く引き受け，そして多くの記事の編集
担当者として活躍し，継続的な Rubyist Magazine の刊行を可能にしている．こ
のように，たなべ氏は Rubyist Magazine，ひいては Ruby コミュニティに対し
て大きな貢献を行っており，Ruby Kaja にふさわしいものである．
","Rubyist Magazine では記事と編集者を切実に募集しています。"
